sample,Observed,Shannon,pd,compartment,treatment
C1.In,101,2.753662775585687,7.1736647190000005,Gut,Control
C1.Soil,77,3.780617750013021,5.699154827,Soil,Control
C2.In,213,3.958286831280419,14.012126634,Gut,Control
C2.Soil,99,3.410597502423521,6.428612874,Soil,Control
C3.In,215,4.557677721402889,12.541388833,Gut,Control
C3.Soil,66,1.9198684378605528,6.601435084,Soil,Control
C4.In,117,4.131312767275505,10.143401988,Gut,Control
C5.In,216,4.663582342206045,12.437961129,Gut,Control
C6.In,136,3.844567156977863,9.700562746,Gut,Control
C7.In,106,2.849959955387306,8.544863629,Gut,Control
C8.In,89,3.980093417335849,6.908288586,Gut,Control
R1.In,113,4.235222175004171,8.43070216,Gut,Roundup
R1.Soil,52,3.319647092472905,5.011412672,Soil,Roundup
R2.In,103,4.11465522288983,7.150071571,Gut,Roundup
R2.Soil,92,4.311344372051287,6.918637197,Soil,Roundup
R3.In,90,3.879962309198136,9.103000474,Gut,Roundup
R3.Soil,67,2.2336804336519456,6.760605321,Soil,Roundup
R4.In,91,3.5833368179466096,6.910858345,Gut,Roundup
R5.In,114,4.165910426502092,9.164490959,Gut,Roundup
R6.In,114,4.247161393413671,8.819796776,Gut,Roundup
R7.In,75,4.051274051066298,5.017607081,Gut,Roundup
R8.In,106,4.315606985403308,5.664864711,Gut,Roundup
