,NMDS1,NMDS2
C1.In,0.06453000079283455,-0.6950358351596555
C2.In,-0.49611279017813026,0.15295946937531843
C3.In,-0.2824650094171305,0.32227587247238954
C4.In,-0.20832476924453885,-0.513621807161267
C5.In,0.07307898880150451,0.1246260727540539
C6.In,0.06715628406728719,0.6066410297581972
C7.In,-0.7043127072607939,-0.18176445700839544
C8.In,0.2818414943137214,-0.441668728764511
R1.In,0.18693078143794456,0.3854118648128918
R2.In,0.4106427224727126,0.4827892416302332
R3.In,0.4517555962179304,-0.08433497098679227
R4.In,0.5790191265261468,0.17481645313802008
R5.In,-0.21908065293476423,-0.23201330470503873
R6.In,0.5547012487889134,-0.2906717524007748
R7.In,-0.34996222716256475,0.5608345307654188
R8.In,-0.4093980872210732,-0.3712436785200882
