,C1.In,C2.In,C3.In,C4.In,C5.In,C6.In,C7.In,C8.In,R1.In,R2.In,R3.In,R4.In,R5.In,R6.In,R7.In,R8.In
C1.In,0.0,0.8364621343591842,0.8878051791721967,0.8397685570839993,0.8894376992140928,0.9221496123716362,0.9491658289603526,0.8755313176678162,0.9025128343690895,0.9331242012315557,0.9240415707143624,0.9611554278353069,0.8772914586131295,0.9176832797055487,0.9225356348108498,0.8854363293161028
C2.In,0.8364621343591842,0.0,0.7768296200884202,0.8620855224886657,0.7693784060184082,0.8785557523323702,0.9235472571464315,0.8604938734215161,0.873917314045897,0.8784100061590941,0.7662528806863296,0.7843329456720386,0.8628661500065677,0.8464619366539773,0.8418908382066277,0.8359204379633529
C3.In,0.8878051791721967,0.7768296200884202,0.0,0.8885182868922706,0.7616237200870796,0.8418488444722049,0.9265642845681168,0.8764549796568194,0.7929073603074291,0.871910219903807,0.796928222722298,0.8398610137462281,0.8241973791489915,0.8753902991300203,0.786526467196548,0.8757423025101053
C4.In,0.8397685570839993,0.8620855224886657,0.8885182868922706,0.0,0.8497382787612278,0.8732684726391551,0.7986529816971203,0.7791656257806645,0.870441400304414,0.8962167211583372,0.8768214206464656,0.8913725830226307,0.6807623042378097,0.8532492815425976,0.9432869499811959,0.6298421079352186
C5.In,0.8894376992140928,0.7693784060184082,0.7616237200870796,0.8497382787612278,0.0,0.7460812602355144,0.9362129179880374,0.8210864247859764,0.7145143184695121,0.7835228963678946,0.8207725733784756,0.7904654393886766,0.8725137239882548,0.8509489634201337,0.8424436434066821,0.8673923934088847
C6.In,0.9221496123716362,0.8785557523323702,0.8418488444722049,0.8732684726391551,0.7460812602355144,0.0,0.9473129047332933,0.8868029843526151,0.8117276102324162,0.7626299158640119,0.8274620571678635,0.6300330963653363,0.8719695414419291,0.8880481253074042,0.8634246658198754,0.8680459395617822
C7.In,0.9491658289603526,0.9235472571464315,0.9265642845681168,0.7986529816971203,0.9362129179880374,0.9473129047332933,0.0,0.9316988841741317,0.9282436984551051,0.9349215758527324,0.9386594853381209,0.9563562941678962,0.8332913147611244,0.9351980237469121,0.9592145523015366,0.8169551287484531
C8.In,0.8755313176678162,0.8604938734215161,0.8764549796568194,0.7791656257806645,0.8210864247859764,0.8868029843526151,0.9316988841741317,0.0,0.8388651412287319,0.8620756500036347,0.8301886792452831,0.8693730619809673,0.8727195387087626,0.810274779431209,0.8110815464078885,0.8462066960864625
R1.In,0.9025128343690895,0.873917314045897,0.7929073603074291,0.870441400304414,0.7145143184695121,0.8117276102324162,0.9282436984551051,0.8388651412287319,0.0,0.653931328072929,0.9090169491525424,0.8560857943803377,0.8299339753564069,0.8823629881082005,0.7209014136221773,0.8550771730300568
R2.In,0.9331242012315557,0.8784100061590941,0.871910219903807,0.8962167211583372,0.7835228963678946,0.7626299158640119,0.9349215758527324,0.8620756500036347,0.653931328072929,0.0,0.8787141156237598,0.756215733775341,0.8532953798992774,0.8553882725832013,0.8272137065273026,0.8977886977886977
R3.In,0.9240415707143624,0.7662528806863296,0.796928222722298,0.8768214206464656,0.8207725733784756,0.8274620571678635,0.9386594853381209,0.8301886792452831,0.9090169491525424,0.8787141156237598,0.0,0.7003039513677811,0.8625714432830441,0.7062140964771922,0.8068273092369478,0.8170444295731618
R4.In,0.9611554278353069,0.7843329456720386,0.8398610137462281,0.8913725830226307,0.7904654393886766,0.6300330963653363,0.9563562941678962,0.8693730619809673,0.8560857943803377,0.756215733775341,0.7003039513677811,0.0,0.9033745620933724,0.7457133027938221,0.9104799291844667,0.9148712967459932
R5.In,0.8772914586131295,0.8628661500065677,0.8241973791489915,0.6807623042378097,0.8725137239882548,0.8719695414419291,0.8332913147611244,0.8727195387087626,0.8299339753564069,0.8532953798992774,0.8625714432830441,0.9033745620933724,0.0,0.8412782698945235,0.938272898763362,0.6514584494519202
R6.In,0.9176832797055487,0.8464619366539773,0.8753902991300203,0.8532492815425976,0.8509489634201337,0.8880481253074042,0.9351980237469121,0.810274779431209,0.8823629881082005,0.8553882725832013,0.7062140964771922,0.7457133027938221,0.8412782698945235,0.0,0.8648295014553126,0.846690838248823
R7.In,0.9225356348108498,0.8418908382066277,0.786526467196548,0.9432869499811959,0.8424436434066821,0.8634246658198754,0.9592145523015366,0.8110815464078885,0.7209014136221773,0.8272137065273026,0.8068273092369478,0.9104799291844667,0.938272898763362,0.8648295014553126,0.0,0.9138151060988278
R8.In,0.8854363293161028,0.8359204379633529,0.8757423025101053,0.6298421079352186,0.8673923934088847,0.8680459395617822,0.8169551287484531,0.8462066960864625,0.8550771730300568,0.8977886977886977,0.8170444295731618,0.9148712967459932,0.6514584494519202,0.846690838248823,0.9138151060988278,0.0
