sample,reads,compartment,treatment
C1.In,66042,gut,control
C1.Soil,12119,soil,control
C2.In,85507,gut,control
C2.Soil,28821,soil,control
C3.In,63554,gut,control
C3.Soil,64628,soil,control
C4.In,22792,gut,control
C5.In,57255,gut,control
C6.In,32506,gut,control
C7.In,42389,gut,control
C8.In,21241,gut,control
R1.In,26483,gut,roundup
R1.Soil,10914,soil,roundup
R2.In,20028,gut,roundup
R2.Soil,10903,soil,roundup
R3.In,17767,gut,roundup
R3.Soil,57441,soil,roundup
R4.In,34873,gut,roundup
R5.In,21075,gut,roundup
R6.In,20356,gut,roundup
R7.In,17093,gut,roundup
R8.In,16602,gut,roundup
