,Aliivibrio,Lewinella,Staphylococcus,Rubritalea,Oceanibulbus,Pseudomonas,Spongiibacter,Cohaesibacter,Phyllobacterium,Haliea,Antarctobacter,Pseudopelagicola,Oceaniserpentilla,Streptococcus,Paraglaciecola,Other,treatment,compartment
C1.In,0.0,0.06271409749670619,0.019762845849802372,0.7809398331137462,0.008871321914800176,0.007465963987703118,0.0,0.0,0.0,0.0014053579270970576,0.02793148880105402,0.0,0.0,0.007729468599033816,0.0,0.08317962231005716,Control,Gut
C1.Soil,0.0,0.08932461873638345,0.0,0.014161220043572984,0.0,0.0,0.15904139433551198,0.0,0.0,0.16339869281045752,0.0,0.0,0.0,0.0,0.0,0.5740740740740741,Control,Soil
C2.In,0.04120051635111876,0.017104130808950086,0.07981927710843373,0.07799053356282272,0.013016351118760757,0.08476764199655766,0.048407917383821,0.0,0.0,0.0,0.05884251290877797,0.0096815834767642,0.07756024096385543,0.011510327022375215,0.0,0.4800989672977626,Control,Gut
C2.Soil,0.0,0.0,0.08577712609970674,0.0,0.0,0.0,0.10483870967741936,0.20161290322580644,0.0,0.11950146627565983,0.0,0.0,0.15835777126099707,0.0,0.0,0.3299120234604106,Control,Soil
C3.In,0.0,0.0,0.08669099575482238,0.0,0.21352498696655992,0.031056825798763687,0.005436806434795561,0.0,0.0,0.11350264392641692,0.16727489387055933,0.005213376033365607,0.0,0.008713785655768228,0.0,0.36858568555894855,Control,Gut
C3.Soil,0.9915581688366233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008441831163376712,Control,Soil
C4.In,0.0,0.3483592973152138,0.019887305270135897,0.0,0.0,0.048723897911832945,0.19688432217434537,0.0,0.0,0.05236990387802453,0.0,0.008617832283725556,0.0,0.0009943652635067948,0.0,0.324163075903215,Control,Gut
C5.In,0.39951124144672534,0.0,0.019745845552297164,0.0,0.0,0.03655913978494624,0.0,0.0,0.0,0.013685239491691105,0.0656891495601173,0.018377321603128056,0.0,0.010263929618768328,0.0,0.43616813294232637,Control,Gut
C6.In,0.0,0.03767349636483807,0.045384445913196736,0.0,0.0,0.016523463317911435,0.03326723948006169,0.0,0.0,0.0,0.2361753690240141,0.1105970478078872,0.0,0.0,0.0,0.5203789380920907,Control,Gut
C7.In,0.005967249514293644,0.02497918401332223,0.0,0.0,0.02511795725784069,0.0,0.033999444907021927,0.0,0.7414654454621149,0.022203719122953096,0.0,0.004995836802664446,0.0,0.01582014987510408,0.0,0.1254510130446851,Control,Gut
C8.In,0.027488546438983758,0.23448563098708872,0.0,0.0,0.011661807580174927,0.19117034568929614,0.0,0.0,0.0,0.0,0.0,0.02790503956684715,0.0,0.0,0.04914618908788005,0.4581424406497292,Control,Gut
R1.In,0.2535760728218466,0.05721716514954486,0.0,0.0,0.17392717815344602,0.00942782834850455,0.03153446033810143,0.0,0.0,0.0,0.0,0.017717815344603382,0.0,0.023081924577373212,0.015767230169050715,0.4177503250975293,Roundup,Gut
R1.Soil,0.0,0.09566126502875065,0.0,0.0,0.10454783063251437,0.0,0.004704652378463147,0.0,0.0,0.0,0.0,0.014113957135389441,0.0,0.1134343962362781,0.0,0.6675378985886042,Roundup,Soil
R2.In,0.1155739828971236,0.04379372894532262,0.0,0.0,0.04586680487172843,0.0,0.0,0.0,0.0,0.0,0.05156776366934439,0.0,0.0,0.0,0.2127494169473957,0.5304483026690853,Roundup,Gut
R2.Soil,0.08234258036107442,0.0,0.2307353588727433,0.0,0.07793923381770146,0.043593130779392336,0.0,0.0,0.0,0.0,0.0,0.028181417877586965,0.0,0.11756935270805813,0.0,0.4196389255834434,Roundup,Soil
R3.In,0.0,0.0,0.4078319006685769,0.0071633237822349575,0.0,0.09694364851957975,0.0,0.04011461318051576,0.0,0.0,0.0,0.03533906399235912,0.0,0.04871060171919771,0.0,0.36389684813753587,Roundup,Gut
R3.Soil,0.562958435207824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039119804400977995,0.0,0.0,0.0,0.0,0.3979217603911981,Roundup,Soil
R4.In,0.02203249793445332,0.0,0.002754062241806665,0.0,0.0,0.0,0.0,0.5031671715780777,0.03415037179840264,0.0,0.049848526576700636,0.2723767557146792,0.0,0.0,0.0,0.11567061415587987,Roundup,Gut
R5.In,0.0,0.07631359466221851,0.0,0.0,0.03502919099249374,0.040450375312760634,0.12510425354462051,0.0,0.0,0.18640533778148458,0.03628023352793995,0.03753127606338615,0.05462885738115096,0.021684737281067557,0.0,0.3865721434528774,Roundup,Gut
R6.In,0.02803030303030303,0.06780303030303031,0.0,0.0,0.02727272727272727,0.06401515151515151,0.0,0.04242424242424243,0.0,0.007954545454545454,0.0,0.0,0.0,0.0,0.051893939393939395,0.7106060606060606,Roundup,Gut
R7.In,0.03450891164201744,0.0,0.13139931740614336,0.0,0.13993174061433447,0.1342434584755404,0.0,0.0,0.006446719757299962,0.0,0.0,0.0,0.0,0.0,0.0,0.5534698521046644,Roundup,Gut
R8.In,0.0,0.0590948400115307,0.05707696742577112,0.0,0.0,0.042375324300951284,0.06053617757278755,0.0,0.0,0.07639089074661286,0.0,0.0,0.21591236667627559,0.051888152205246466,0.021331795906601326,0.41539348515422314,Roundup,Gut
